shipment_id,delivery_date,region,vehicle_type,traffic_level,distance_km,shipment_volume,promised_time_hours,delivery_time_hours,transportation_cost,on_time,delayed
SHP10057,2026-03-29,East,Truck,Medium,207.6,9.0,7.05,9.65,815.52,0,1
SHP10058,2026-01-18,South,Van,Medium,256.8,15.0,8.64,10.23,964.69,0,1
SHP10059,2026-05-29,North,Truck,Low,64.6,9.0,4.19,3.7,460.34,1,0
SHP10060,2026-04-27,South,Bike,High,53.3,6.0,3.67,6.85,350.83,0,1
SHP10061,2026-01-05,North,Van,Medium,301.4,15.0,9.53,10.67,1026.69,0,1
SHP10062,2026-05-21,North,Van,High,213.1,14.0,7.66,9.58,841.31,0,1
SHP10063,2026-04-20,South,Bike,Medium,255.2,3.0,7.4,7.3,800.06,1,0
SHP10064,2026-04-21,West,Truck,Low,344.7,14.0,10.29,11.18,1155.33,0,1
SHP10065,2026-06-05,West,Van,Low,286.4,15.0,9.23,9.89,943.06,0,1
SHP10066,2026-03-31,South,Bike,Medium,250.0,8.0,7.8,8.53,804.31,0,1
SHP10067,2026-03-25,South,Bike,Medium,252.5,18.0,8.85,8.9,1079.7,0,1
SHP10068,2026-04-22,North,Truck,Low,138.2,13.0,6.06,5.97,648.42,1,0
SHP10069,2026-02-05,West,Truck,Medium,15.8,7.0,3.02,3.11,199.74,0,1
SHP10070,2026-01-28,North,Van,High,197.6,1.0,6.05,6.24,657.91,0,1
SHP10071,2026-06-01,West,Van,Medium,98.1,,5.26,4.12,600.53,1,0
SHP10072,2026-02-08,West,Truck,Medium,185.0,4.0,6.1,7.21,595.85,0,1
SHP10073,2026-04-01,East,Van,Low,384.3,15.0,11.19,8.68,1218.75,1,0
SHP10074,2026-02-18,South,Truck,Medium,106.8,10.0,5.14,5.8,583.67,0,1
SHP10075,2026-02-11,West,Bike,Low,28.1,9.0,3.46,2.38,319.43,1,0
SHP10076,2026-04-18,East,Van,High,128.1,4.0,4.96,7.97,525.49,0,1
SHP10077,2026-05-25,East,Truck,Medium,133.5,14.0,6.07,6.1,690.1,0,1
SHP10078,2026-03-21,West,Van,Medium,298.5,4.0,8.37,9.84,859.71,0,1
SHP10079,2026-01-25,West,Bike,Low,251.6,8.0,7.83,7.31,824.07,1,0
SHP10080,2026-02-14,North,Van,Low,353.2,16.0,10.66,11.09,1177.17,0,1
SHP10081,2026-01-30,West,Truck,Medium,299.6,18.0,9.79,11.63,,0,1
SHP10082,2026-06-08,West,Truck,Medium,184.1,19.0,7.58,7.86,828.08,0,1
SHP10083,2026-02-27,North,Van,Medium,366.7,19.0,11.23,13.53,1195.75,0,1
SHP10084,2026-03-09,South,Truck,High,76.8,11.0,4.64,5.13,514.61,0,1
SHP10085,2026-01-13,West,Bike,High,12.2,4.0,2.64,4.28,247.25,0,1
SHP10086,2026-03-22,North,Truck,High,42.3,16.0,4.45,7.07,522.67,0,1
SHP10087,2026-06-14,South,Bike,Low,325.6,16.0,10.11,11.08,1142.67,0,1
SHP10088,2026-03-15,East,Bike,Medium,208.9,19.0,8.08,11.03,907.16,0,1
SHP10089,2026-04-28,East,Van,High,74.2,13.0,4.78,5.57,552.68,0,1
SHP10090,2026-02-02,West,Truck,Medium,226.5,3.0,6.83,5.88,670.25,1,0
SHP10091,2026-01-26,North,Van,Low,70.2,10.0,4.4,2.87,432.52,1,0
SHP10092,2026-05-12,South,Bike,High,314.0,9.0,9.18,11.98,958.76,0,1
SHP10093,2026-01-12,West,Truck,Medium,201.9,17.0,7.74,9.07,961.11,0,1
SHP10094,2026-03-22,East,Van,Medium,172.7,8.0,6.25,6.91,565.87,0,1
SHP10095,2026-02-27,North,Van,High,137.1,7.0,5.44,5.85,570.11,0,1
SHP10096,2026-01-03,South,Bike,Medium,284.4,2.0,7.89,9.4,706.12,0,1
SHP10097,2026-04-06,South,Van,Medium,164.1,16.0,6.88,6.22,764.15,1,0
SHP10098,2026-06-23,East,Truck,Medium,41.3,15.0,4.33,5.99,461.35,0,1
SHP10099,2026-01-13,South,Van,Medium,54.9,1.0,3.2,6.48,164.95,0,1
SHP10100,2026-05-27,East,Bike,Low,432.9,9.0,11.56,12.3,1251.89,0,1
SHP10101,2026-04-08,South,Van,Medium,409.0,10.0,11.18,12.93,1182.7,0,1
SHP10102,2026-05-11,East,Van,High,315.5,9.0,9.21,10.75,881.64,0,1
SHP10103,2026-01-18,North,Bike,Low,121.1,18.0,6.22,4.06,748.2,1,0
SHP10104,2026-06-06,East,Bike,Low,436.2,3.0,11.02,10.59,1198.22,1,0
SHP10105,2026-01-03,West,Van,High,350.9,6.0,9.62,10.52,1067.04,0,1
SHP10106,2026-06-13,North,Truck,Low,323.2,4.0,8.86,7.27,919.19,1,0
SHP10107,2026-04-29,South,Bike,Medium,203.3,5.0,6.57,9.01,659.33,0,1
SHP10108,2026-03-02,East,Bike,Medium,124.0,18.0,6.28,7.22,776.57,0,1
SHP10109,2026-01-02,East,Van,Medium,45.2,18.0,4.7,5.58,619.15,0,1
SHP10110,2026-04-20,East,Truck,Low,406.4,1.0,10.23,10.01,1083.09,1,0
SHP10111,2026-01-16,East,Bike,Medium,206.2,13.0,7.42,7.95,765.27,0,1
SHP10112,2026-04-20,East,Bike,Medium,92.7,5.0,4.35,5.72,423.0,0,1
SHP10113,2026-05-20,East,Bike,Medium,139.1,4.0,5.18,5.54,517.8,0,1
SHP10114,2026-02-18,North,Truck,Low,261.5,6.0,7.83,8.31,721.87,0,1
SHP10115,2026-02-12,West,Van,Medium,81.2,4.0,4.02,4.07,391.76,0,1
SHP10116,2026-02-09,South,Bike,Medium,385.8,10.0,10.72,11.4,1251.04,0,1
SHP10117,2026-02-10,North,Bike,Low,341.8,19.0,10.74,9.53,1242.76,1,0
SHP10118,2026-01-21,South,Bike,Low,324.3,12.0,9.69,7.67,1115.76,1,0
SHP10119,2026-02-14,South,Van,Low,195.6,14.0,7.31,6.94,810.55,1,0
SHP10120,2026-04-29,North,Van,Low,283.0,10.0,8.66,8.75,919.31,0,1
SHP10121,2026-02-24,West,Bike,Low,263.7,1.0,7.37,5.77,735.3,1,0
SHP10122,2026-05-21,North,Van,High,293.1,2.0,8.06,9.92,764.11,0,1
SHP10123,2026-05-28,South,Bike,Medium,39.8,6.0,3.4,3.66,272.19,0,1
SHP10124,2026-05-17,South,Van,High,188.3,5.0,6.27,5.61,681.24,1,0
SHP10125,2026-04-08,West,Bike,High,20.6,16.0,4.01,4.57,515.08,0,1
SHP10126,2026-02-26,East,Bike,Low,223.3,17.0,8.17,8.65,872.66,0,1
SHP10127,2026-06-17,West,Van,Medium,149.8,17.0,6.7,7.79,799.12,0,1
SHP10128,2026-02-06,North,Van,High,66.7,13.0,4.63,4.97,496.83,0,1
SHP10129,2026-03-25,West,Truck,Medium,48.3,11.0,4.07,4.57,439.55,0,1
SHP10130,2026-03-23,West,Truck,Medium,265.3,13.0,8.61,10.58,958.37,0,1
SHP10131,2026-05-15,South,Van,Medium,78.4,8.0,4.37,5.56,481.23,0,1
SHP10132,2026-04-09,East,Truck,Low,416.5,13.0,11.63,11.91,1274.02,0,1
SHP10133,2026-05-24,North,Bike,Medium,262.3,16.0,8.85,9.23,1048.52,0,1
SHP10134,2026-06-15,West,Truck,High,157.4,15.0,6.65,7.81,750.2,0,1
SHP10135,2026-03-12,West,Van,High,266.7,12.0,8.53,11.08,950.83,0,1
SHP10136,2026-06-07,South,Van,Low,12.2,2.0,2.44,1.93,145.34,1,0
SHP10137,2026-01-31,East,Van,Medium,431.4,14.0,12.03,13.96,,0,1
SHP10138,2026-06-14,South,Van,Low,218.1,7.0,7.06,7.03,746.96,1,0
SHP10139,2026-02-02,North,Van,High,352.7,15.0,10.55,13.74,1198.02,0,1
SHP10140,2026-06-03,East,Truck,Low,39.1,11.0,3.88,3.49,331.65,1,0
SHP10141,2026-03-12,East,Van,High,220.0,17.0,8.1,10.99,872.98,0,1
SHP10142,2026-06-23,West,Bike,High,221.8,7.0,7.14,9.93,789.66,0,1
SHP10143,2026-01-24,West,Van,Low,422.1,18.0,12.24,11.86,1385.53,1,0
SHP10144,2026-03-25,South,Van,Low,258.1,17.0,8.86,6.99,907.7,1,0
SHP10145,2026-06-12,West,Bike,High,214.1,7.0,6.98,10.5,763.74,0,1
SHP10146,2026-01-09,East,Bike,Low,121.6,10.0,5.43,5.38,543.05,1,0
SHP10147,2026-02-17,East,Van,Medium,150.5,11.0,6.11,4.78,712.61,1,0
SHP10148,2026-01-16,East,Van,High,235.3,15.0,8.21,9.44,903.71,0,1
SHP10149,2026-02-27,West,Van,Medium,198.6,14.0,7.37,8.94,818.13,0,1
SHP10150,2026-03-12,East,Truck,Medium,11.7,17.0,3.93,3.99,504.79,0,1
SHP10151,2026-04-22,North,Truck,Medium,372.2,8.0,10.24,10.67,1042.45,0,1
SHP10152,2026-02-16,North,Van,Low,403.5,10.0,11.07,12.91,1143.02,0,1
SHP10153,2026-01-29,South,Van,High,64.8,9.0,4.2,4.57,415.72,0,1
SHP10154,2026-01-31,East,Truck,Low,250.2,18.0,8.8,8.04,1031.66,1,0
SHP10155,2026-06-18,East,Bike,Low,50.6,6.0,3.61,3.28,279.43,1,0
SHP10156,2026-06-21,South,Truck,Low,303.2,12.0,9.26,9.81,927.98,0,1
SHP10157,2026-02-09,East,Truck,High,128.0,3.0,4.86,6.95,492.67,0,1
SHP10158,2026-02-05,West,Van,Low,297.4,17.0,9.65,10.85,1053.15,0,1
SHP10159,2026-01-10,South,Van,High,327.7,8.0,9.35,11.66,967.29,0,1
SHP10160,2026-06-22,South,Van,Medium,346.4,7.0,9.63,11.08,924.52,0,1
SHP10161,2026-05-08,East,Bike,High,50.3,12.0,4.21,5.47,416.11,0,1
SHP10162,2026-05-17,South,Bike,High,412.4,,11.25,13.63,1206.94,0,1
SHP10163,2026-02-22,West,Bike,High,105.1,17.0,5.8,7.69,699.09,0,1
SHP10164,2026-04-26,West,Bike,High,18.8,11.0,3.48,5.17,324.65,0,1
SHP10165,2026-01-11,East,Bike,Low,250.6,10.0,8.01,8.82,925.9,0,1
SHP10166,2026-05-02,South,Bike,Medium,168.2,2.0,5.56,6.59,495.23,0,1
SHP10167,2026-04-15,East,Van,Medium,373.7,1.0,9.57,10.47,929.4,0,1
SHP10168,2026-03-01,North,Van,Medium,364.1,8.0,10.08,10.16,1134.2,0,1
SHP10169,2026-05-08,South,Van,High,144.1,19.0,6.78,8.76,788.54,0,1
SHP10170,2026-04-27,North,Truck,High,428.9,18.0,12.38,14.86,1362.74,0,1
SHP10171,2026-03-21,North,Van,Medium,132.3,12.0,5.85,6.59,620.08,0,1
SHP10172,2026-02-03,North,Bike,Medium,232.7,12.0,7.85,11.04,908.83,0,1
SHP10173,2026-01-05,East,Truck,Medium,116.7,8.0,5.13,4.98,586.72,1,0
SHP10174,2026-06-18,North,Truck,Medium,421.3,4.0,10.83,12.31,1082.1,0,1
SHP10175,2026-02-20,East,Van,Medium,75.7,1.0,3.61,4.98,302.63,0,1
SHP10176,2026-02-24,South,Van,Medium,22.1,7.0,3.14,3.44,298.68,0,1
SHP10177,2026-05-03,South,Van,Low,196.9,7.0,6.64,8.99,634.8,0,1
SHP10178,2026-02-15,West,Bike,Low,446.6,4.0,11.33,11.19,1172.01,1,0
SHP10179,2026-03-09,East,Truck,Medium,401.5,5.0,10.53,11.88,1093.54,0,1
SHP10180,2026-05-09,East,Bike,Medium,337.4,1.0,8.85,8.74,931.59,1,0
SHP10181,2026-04-18,East,Van,High,401.1,12.0,11.22,13.17,1272.75,0,1
SHP10182,2026-04-29,North,Van,Medium,402.3,18.0,11.85,13.37,1314.25,0,1
SHP10183,2026-01-01,North,Van,Low,234.4,14.0,8.09,9.02,878.05,0,1
SHP10184,2026-03-23,East,Bike,Low,143.5,9.0,5.77,5.82,627.59,0,1
SHP10185,2026-03-27,West,Bike,Low,347.9,8.0,9.76,11.28,1003.05,0,1
SHP10186,2026-04-24,North,Van,High,298.4,6.0,8.57,10.45,910.97,0,1
SHP10187,2026-01-28,North,Bike,Low,169.4,3.0,5.69,4.96,542.72,1,0
SHP10188,2026-01-29,West,Van,Medium,44.3,12.0,4.09,7.4,389.84,0,1
SHP10189,2026-05-18,West,Bike,High,336.6,11.0,9.83,12.43,1015.46,0,1
SHP10190,2026-05-02,North,Van,High,119.6,1.0,4.49,5.19,466.24,0,1
SHP10191,2026-05-27,South,Van,Low,421.7,8.0,11.23,10.77,1184.7,1,0
SHP10192,2026-02-18,East,Bike,Low,110.0,6.0,4.8,3.33,543.82,1,0
SHP10193,2026-06-29,North,Van,Low,57.0,4.0,3.54,3.98,294.29,0,1
SHP10194,2026-02-19,South,Van,Low,374.3,14.0,10.89,10.8,1208.56,1,0
SHP10195,2026-04-28,South,Van,Low,70.7,10.0,4.41,4.11,563.21,1,0
SHP10196,2026-01-30,East,Van,Medium,82.3,13.0,4.95,5.32,487.48,0,1
SHP10197,2026-06-15,South,Bike,High,270.5,14.0,8.81,11.7,881.7,0,1
SHP10198,2026-03-01,South,Bike,Medium,393.8,19.0,11.78,12.1,1386.26,0,1
SHP10199,2026-05-25,South,Bike,Medium,90.0,16.0,5.4,4.74,568.79,1,0
SHP10200,2026-03-01,West,Van,Low,141.0,12.0,6.02,6.02,645.27,1,0
SHP10201,2026-05-23,North,Truck,High,350.3,17.0,10.71,13.69,1170.29,0,1
SHP10202,2026-03-23,North,Van,Medium,437.4,10.0,11.75,13.29,1274.35,0,1
SHP10203,2026-01-12,North,Van,High,226.3,19.0,8.43,9.62,917.09,0,1
SHP10204,2026-02-04,West,Van,High,66.5,15.0,4.83,7.22,528.2,0,1
SHP10205,2026-05-04,West,Bike,Low,8.2,13.0,3.46,2.12,392.28,1,0
SHP10206,2026-02-04,East,Bike,Low,104.9,18.0,5.9,5.12,629.41,1,0
SHP10207,2026-02-19,North,Bike,Low,61.1,10.0,4.22,2.72,402.92,1,0
SHP10208,2026-04-08,West,Truck,Medium,305.6,14.0,9.51,11.9,1028.69,0,1
SHP10209,2026-02-15,South,Truck,High,56.6,6.0,3.73,5.87,288.22,0,1
SHP10210,2026-01-24,West,Truck,Medium,228.8,19.0,8.48,10.03,946.34,0,1
SHP10211,2026-04-23,South,Truck,Medium,313.0,12.0,9.46,11.77,1029.95,0,1
SHP10212,2026-05-05,West,Van,Medium,262.3,15.0,8.75,12.72,949.08,0,1
SHP10213,2026-05-12,West,Van,Low,91.5,9.0,4.73,2.43,471.09,1,0
SHP10214,2026-06-19,North,Van,Low,362.2,17.0,10.94,10.48,1221.94,1,0
SHP10215,2026-01-23,East,Bike,Medium,322.5,2.0,8.65,8.73,835.99,0,1
SHP10216,2026-03-18,South,Truck,Medium,333.1,3.0,8.96,8.83,937.92,1,0
SHP10217,2026-02-12,South,Bike,Medium,60.7,10.0,4.21,3.36,498.16,1,0
SHP10218,2026-06-12,South,Van,Low,57.4,14.0,4.55,3.83,477.38,1,0
SHP10219,2026-04-08,East,Truck,Medium,417.5,16.0,11.95,11.86,1348.33,1,0
SHP10220,2026-01-18,South,Van,Low,180.1,9.0,6.5,6.65,667.44,0,1
SHP10221,2026-05-05,East,Van,High,136.8,13.0,6.04,7.86,671.41,0,1
SHP10222,2026-01-08,East,Van,Low,220.9,11.0,7.52,7.96,874.44,0,1
SHP10223,2026-02-19,West,Van,Low,299.0,19.0,9.88,10.68,1142.69,0,1
SHP10224,2026-05-10,West,Bike,Medium,430.1,13.0,11.9,13.78,1220.42,0,1
SHP10225,2026-04-02,North,Van,Medium,130.3,8.0,5.41,5.44,571.09,0,1
SHP10226,2026-05-17,West,Truck,Medium,416.3,19.0,12.23,15.86,1433.34,0,1
SHP10227,2026-04-13,North,Truck,Medium,13.1,3.0,2.56,2.91,192.85,0,1
SHP10228,2026-06-01,East,Van,High,250.7,19.0,8.91,9.0,1058.34,0,1
SHP10229,2026-04-12,South,Truck,Medium,286.0,3.0,8.02,7.61,772.14,1,0
SHP10230,2026-01-11,East,Van,Medium,49.4,6.0,3.59,1.9,269.83,1,0
SHP10231,2026-01-13,East,Bike,Medium,64.9,16.0,4.9,5.38,557.13,0,1
SHP10232,2026-05-20,West,Bike,Low,189.8,14.0,7.2,6.96,710.52,1,0
SHP10233,2026-01-07,South,Bike,Medium,434.9,19.0,12.6,13.43,1407.99,0,1
SHP10234,2026-03-09,West,Truck,Low,269.0,15.0,8.88,11.19,1039.71,0,1
SHP10235,2026-01-03,South,Van,Medium,420.0,13.0,11.7,13.5,1192.06,0,1
SHP10236,2026-02-24,North,Bike,Low,362.4,7.0,9.95,10.89,985.7,0,1
SHP10237,2026-04-18,South,Van,High,211.4,1.0,6.33,6.99,556.64,0,1
SHP10238,2026-02-01,East,Van,Medium,353.6,3.0,9.37,9.12,949.07,1,0
SHP10239,2026-03-25,East,Van,High,10.0,6.0,2.8,4.18,233.54,0,1
SHP10240,2026-06-29,West,Bike,Medium,50.9,1.0,3.12,3.44,312.94,0,1
SHP10241,2026-01-13,North,Truck,Low,373.6,10.0,10.47,8.66,1164.87,1,0
SHP10242,2026-01-12,South,Bike,High,359.0,15.0,10.68,12.78,1202.09,0,1
SHP10243,2026-02-18,West,Bike,Medium,106.2,19.0,6.02,6.66,702.19,0,1
SHP10244,2026-05-29,South,Van,Medium,239.8,10.0,7.8,8.29,845.26,0,1
SHP10245,2026-03-15,North,Bike,Medium,273.5,17.0,9.17,9.22,988.91,0,1
SHP10246,2026-04-26,West,Van,Medium,390.7,19.0,11.71,12.37,1360.11,0,1
SHP10247,2026-01-07,South,Truck,High,272.2,17.0,9.14,11.09,974.8,0,1
SHP10248,2026-05-13,West,Van,Medium,186.8,9.0,6.64,7.33,730.55,0,1
SHP10249,2026-01-13,West,Bike,Low,169.6,7.0,6.09,6.47,672.5,0,1
SHP10250,2026-05-09,West,Van,Medium,192.8,19.0,7.76,9.75,895.65,0,1
SHP10251,2026-01-27,East,Van,Medium,294.1,5.0,8.38,8.81,849.09,0,1
SHP10252,2026-06-04,West,Truck,High,390.6,8.0,10.61,12.34,1141.33,0,1
SHP10253,2026-02-23,West,Van,Medium,205.3,2.0,6.31,7.28,478.89,0,1
SHP10254,2026-02-03,South,Van,Medium,113.0,16.0,5.86,7.1,670.2,0,1
SHP10255,2026-03-02,North,Truck,High,108.0,13.0,5.46,6.68,586.5,0,1
SHP10256,2026-01-01,South,Van,Medium,336.2,2.0,8.92,10.58,893.36,0,1
SHP10257,2026-01-30,East,Bike,Medium,367.8,5.0,9.86,11.85,1050.95,0,1
SHP10258,2026-04-18,East,Van,Medium,49.2,11.0,4.08,5.83,422.88,0,1
SHP10259,2026-02-24,North,Bike,Low,31.8,11.0,3.74,5.18,336.65,0,1
SHP10260,2026-03-05,East,Truck,Medium,268.3,16.0,8.97,8.93,991.9,1,0
SHP10261,2026-05-26,North,Truck,Low,67.5,6.0,3.95,3.44,379.54,1,0
SHP10262,2026-01-23,East,Truck,Low,371.4,18.0,11.23,11.63,1266.25,0,1
SHP10263,2026-03-13,East,Truck,Medium,141.0,9.0,5.72,6.11,599.49,0,1
SHP10264,2026-02-03,East,Bike,Medium,66.5,16.0,4.93,4.68,601.07,1,0
SHP10265,2026-03-28,South,Van,High,414.6,,10.79,11.38,1073.25,0,1
SHP10266,2026-03-01,South,Van,Low,76.2,1.0,3.62,3.12,313.55,1,0
SHP10267,2026-01-09,East,Truck,Low,129.6,2.0,4.79,3.47,499.17,1,0
SHP10268,2026-01-13,East,Bike,High,70.8,8.0,4.22,5.83,341.7,0,1
SHP10269,2026-06-03,West,Van,Low,53.7,19.0,4.97,3.8,588.22,1,0
SHP10270,2026-01-11,South,Van,Low,11.5,1.0,2.33,0.8,136.96,1,0
SHP10271,2026-05-21,South,Bike,Low,26.8,8.0,3.34,3.01,306.28,1,0
SHP10272,2026-06-14,South,Bike,Medium,80.2,3.0,3.9,4.31,309.72,0,1
SHP10273,2026-03-25,East,Bike,High,25.9,18.0,4.32,6.57,493.35,0,1
SHP10274,2026-02-26,North,Truck,Medium,266.8,13.0,8.64,11.89,1023.82,0,1
SHP10275,2026-05-20,South,Truck,Medium,307.0,15.0,9.64,10.93,1008.5,0,1
SHP10276,2026-06-26,North,Van,Low,178.3,14.0,6.97,7.38,711.63,0,1
SHP10277,2026-01-22,East,Bike,Medium,144.5,13.0,6.19,5.59,613.31,1,0
SHP10278,2026-06-23,West,Van,Medium,,15.0,8.06,7.45,969.33,1,0
SHP10279,2026-06-19,West,Bike,Low,394.0,1.0,9.98,11.82,983.99,0,1
SHP10280,2026-01-26,South,Van,Low,383.3,17.0,11.37,10.74,1268.11,1,0
SHP10281,2026-01-10,North,Truck,Low,21.5,15.0,3.93,2.33,419.17,1,0
SHP10282,2026-05-09,North,Bike,Low,83.3,15.0,5.17,4.81,530.76,1,0
SHP10283,2026-01-14,North,Truck,Medium,108.1,8.0,4.96,5.26,491.24,0,1
SHP10284,2026-04-19,West,Bike,Medium,,16.0,5.87,5.45,768.76,1,0
SHP10285,2026-01-12,West,Van,Low,257.9,8.0,7.96,7.56,894.02,1,0
SHP10286,2026-05-05,East,Truck,Medium,188.5,1.0,5.87,7.66,514.32,0,1
SHP10287,2026-02-11,North,Van,Medium,24.1,18.0,4.28,3.81,526.16,1,0
SHP10288,2026-01-18,North,Van,Medium,169.4,5.0,5.89,4.83,545.26,1,0
SHP10289,2026-01-12,West,Van,High,236.6,2.0,6.93,9.73,596.58,0,1
SHP10290,2026-02-03,South,Van,Medium,47.5,12.0,4.15,5.04,486.38,0,1
SHP10291,2026-04-08,North,Van,High,375.4,5.0,10.01,11.46,1088.08,0,1
SHP10292,2026-01-14,North,Truck,Low,25.3,17.0,4.21,2.06,528.73,1,0
SHP10293,2026-05-25,South,Truck,Medium,416.3,9.0,11.23,11.51,1176.72,0,1
SHP10294,2026-04-19,East,Truck,Low,46.4,1.0,3.03,2.29,232.58,1,0
SHP10295,2026-02-23,West,Van,Medium,379.9,19.0,11.5,14.0,1331.52,0,1
SHP10296,2026-06-27,South,Van,Medium,406.4,10.0,11.13,11.09,1211.7,1,0
SHP10297,2026-04-29,East,Van,Low,440.8,5.0,11.32,11.5,1162.05,0,1
SHP10298,2026-05-01,North,Bike,Medium,361.3,13.0,10.53,12.33,1076.0,0,1
SHP10299,2026-02-01,North,Bike,Low,351.2,11.0,10.12,7.71,1095.76,1,0
SHP10300,2026-05-08,North,Van,Low,289.8,1.0,7.9,8.9,824.12,0,1
SHP10301,2026-04-11,West,Truck,Low,351.0,15.0,10.52,9.5,1108.31,1,0
