shipment_id,delivery_date,region,vehicle_type,traffic_level,distance_km,shipment_volume,promised_time_hours,delivery_time_hours,transportation_cost,on_time,delayed,distance_km_normalized,shipment_volume_normalized,delivery_time_hours_normalized,transportation_cost_normalized
SHP10048,2026-03-24,West,Van,Low,131.2,12.0,5.82,6.03,810.55,0,1,0.2848158131176998,0.6111111111111112,0.3367675466838378,0.4879601860303385
SHP10049,2026-02-26,South,Bike,Medium,307.8,13.0,9.46,10.68,1052.96,0,1,0.6814914645103325,0.6666666666666666,0.6361880231809401,0.6635661610234566
SHP10050,2026-04-26,East,Bike,Medium,64.6,3.0,3.59,2.25,370.92,1,0,0.1352201257861635,0.1111111111111111,0.09336767546683838,0.16948464959939727
SHP10051,2026-05-03,South,Bike,Low,91.6,10.0,4.83,5.67,542.89,0,1,0.19586702605570525,0.5,0.3135866065679331,0.294062676576694
SHP10052,2026-06-15,East,Van,Medium,5.3,7.0,2.81,2.85,810.55,0,1,0.002021563342318058,0.3333333333333333,0.1320025756600129,0.4879601860303385
SHP10053,2026-05-23,West,Bike,Medium,354.5,10.0,10.09,9.86,1096.05,1,0,0.7863881401617251,0.5,0.583386992916935,0.6947812984454006
SHP10054,2026-02-14,East,Truck,Low,299.9,19.0,9.9,11.45,1162.52,0,1,0.6637466307277627,1.0,0.6857694784288474,0.7429333101519826
SHP10055,2026-02-07,South,Van,High,317.9,2.0,8.56,11.19,841.56,0,1,0.704177897574124,0.05555555555555555,0.6690276883451385,0.5104243635994842
SHP10056,2026-06-09,South,Van,High,351.8,19.0,10.94,11.91,1208.89,0,1,0.7803234501347709,1.0,0.7153895685769479,0.7765245360107793
SHP10057,2026-03-29,East,Truck,Medium,207.6,9.0,7.05,9.65,815.52,0,1,0.4564240790655884,0.4444444444444444,0.569864777849324,0.4915605395459352
SHP10058,2026-01-18,South,Van,Medium,256.8,15.0,8.64,10.23,964.69,0,1,0.5669362084456424,0.7777777777777778,0.6072118480360593,0.5996218542182814
SHP10059,2026-05-29,North,Truck,Low,64.6,9.0,4.19,3.7,460.34,1,0,0.1352201257861635,0.4444444444444444,0.1867353509336768,0.23426203619188363
SHP10060,2026-04-27,South,Bike,High,53.3,6.0,3.67,6.85,350.83,0,1,0.10983827493261454,0.2777777777777778,0.3895685769478429,0.15493110792367537
SHP10061,2026-01-05,North,Van,Medium,301.4,15.0,9.53,10.67,1026.69,0,1,0.6671159029649595,0.7777777777777778,0.6355441081777206,0.6445357210124455
SHP10062,2026-05-21,North,Van,High,213.1,14.0,7.66,9.58,841.31,0,1,0.46877807726864323,0.7222222222222222,0.5653573728267869,0.5102432592978947
SHP10063,2026-04-20,South,Bike,Medium,255.2,3.0,7.4,7.3,800.06,1,0,0.5633423180592991,0.1111111111111111,0.41854475209272385,0.48036104953564845
SHP10064,2026-04-21,West,Truck,Low,344.7,14.0,10.29,11.18,1155.33,0,1,0.7643755615453728,0.7222222222222222,0.6683837733419189,0.7377247504382722
SHP10065,2026-06-05,West,Van,Low,286.4,15.0,9.23,9.89,943.06,0,1,0.6334231805929919,0.7777777777777778,0.5853187379265937,0.5839527100447689
SHP10066,2026-03-31,South,Bike,Medium,250.0,8.0,7.8,8.53,804.31,0,1,0.5516621743036837,0.3888888888888889,0.49774629748873156,0.4834398226626678
SHP10067,2026-03-25,South,Bike,Medium,252.5,18.0,8.85,8.9,1079.7,0,1,0.5572776280323449,0.9444444444444444,0.5215711526078558,0.6829370771214558
SHP10068,2026-04-22,North,Truck,Low,138.2,13.0,6.06,5.97,648.42,1,0,0.3005390835579514,0.6666666666666666,0.33290405666452033,0.37051042436359943
SHP10069,2026-02-05,West,Truck,Medium,15.8,7.0,3.02,3.11,199.74,0,1,0.025606469002695417,0.3333333333333333,0.14874436574372182,0.04547891221512293
SHP10070,2026-01-28,North,Van,High,197.6,1.0,6.05,6.24,657.91,0,1,0.4339622641509433,0.0,0.3502897617514489,0.37738514365193193
SHP10071,2026-06-01,West,Van,Medium,98.1,10.0,5.26,4.12,600.53,1,0,0.21046720575022457,0.5,0.21377978106889894,0.33581808435113947
SHP10072,2026-02-08,West,Truck,Medium,185.0,4.0,6.1,7.21,595.85,0,1,0.40566037735849053,0.16666666666666666,0.4127495170637477,0.33242781182538644
SHP10073,2026-04-01,East,Van,Low,384.3,15.0,11.19,8.68,1218.75,1,0,0.8533243486073675,0.7777777777777778,0.5074050225370251,0.7836672896654641
SHP10074,2026-02-18,South,Truck,Medium,106.8,10.0,5.14,5.8,583.67,0,1,0.23000898472596581,0.5,0.32195750160978753,0.32360441025195225
SHP10075,2026-02-11,West,Bike,Low,28.1,9.0,3.46,2.38,319.43,1,0,0.05323450134770889,0.4444444444444444,0.10173857050869285,0.13218440764405034
SHP10076,2026-04-18,East,Van,High,128.1,4.0,4.96,7.97,525.49,0,1,0.27785265049415986,0.16666666666666666,0.46168705730843534,0.28145781718607377
SHP10077,2026-05-25,East,Truck,Medium,133.5,14.0,6.07,6.1,690.1,0,1,0.28998203054806826,0.7222222222222222,0.3412749517063748,0.40070413352457945
SHP10078,2026-03-21,West,Van,Medium,298.5,4.0,8.37,9.84,859.71,0,1,0.6606019766397124,0.16666666666666666,0.5820991629104959,0.5235725358948725
SHP10079,2026-01-25,West,Bike,Low,251.6,8.0,7.83,7.31,824.07,1,0,0.5552560646900269,0.3888888888888889,0.4191886670959434,0.4977543066602918
SHP10080,2026-02-14,North,Van,Low,353.2,16.0,10.66,11.09,1177.17,0,1,0.7834681042228212,0.8333333333333334,0.6625885383129427,0.7535460222251199
SHP10081,2026-01-30,West,Truck,Medium,299.6,18.0,9.79,11.63,810.55,0,1,0.6630727762803235,0.9444444444444444,0.6973599484867998,0.4879601860303385
SHP10082,2026-06-08,West,Truck,Medium,184.1,19.0,7.58,7.86,828.08,0,1,0.40363881401617246,1.0,0.45460399227302006,0.5006592196577853
SHP10083,2026-02-27,North,Van,Medium,366.7,19.0,11.23,13.53,1195.75,0,1,0.813791554357592,1.0,0.819703799098519,0.7670056939192419
SHP10084,2026-03-09,South,Truck,High,76.8,11.0,4.64,5.13,514.61,0,1,0.16262353998203052,0.5555555555555556,0.27881519639407604,0.27357615798090434
SHP10085,2026-01-13,West,Bike,High,12.2,4.0,2.64,4.28,247.25,0,1,0.017520215633423177,0.16666666666666666,0.22408242112041216,0.07989597368916705
SHP10086,2026-03-22,North,Truck,High,42.3,16.0,4.45,7.07,522.67,0,1,0.08513027852650493,0.8333333333333334,0.40373470701867364,0.2794149606641456
SHP10087,2026-06-14,South,Bike,Low,325.6,16.0,10.11,11.08,1142.67,0,1,0.7214734950584007,0.8333333333333334,0.6619446233097231,0.7285536286057867
SHP10088,2026-03-15,East,Bike,Medium,208.9,19.0,8.08,11.03,907.16,0,1,0.4593441150044923,1.0,0.6587250482936252,0.5579461323365352
SHP10089,2026-04-28,East,Van,High,74.2,13.0,4.78,5.57,552.68,0,1,0.1567834681042228,0.6666666666666666,0.3071474565357374,0.30115472102693375
SHP10090,2026-02-02,West,Truck,Medium,226.5,3.0,6.83,5.88,670.25,1,0,0.4988769092542677,0.1111111111111111,0.32710882163554417,0.38632445197838333
SHP10091,2026-01-26,North,Van,Low,70.2,10.0,4.4,2.87,432.52,1,0,0.14779874213836475,0.5,0.13329040566645206,0.21410874951101833
SHP10092,2026-05-12,South,Bike,High,314.0,9.0,9.18,11.98,958.76,0,1,0.6954177897574124,0.4444444444444444,0.719896973599485,0.5953260601845815
SHP10093,2026-01-12,West,Truck,Medium,201.9,17.0,7.74,9.07,961.11,0,1,0.4436208445642407,0.8888888888888888,0.5325177076625885,0.5970284406195215
SHP10094,2026-03-22,East,Van,Medium,172.7,8.0,6.25,6.91,565.87,0,1,0.378032345013477,0.3888888888888889,0.39343206696716043,0.310709783978789
SHP10095,2026-02-27,North,Van,High,137.1,7.0,5.44,5.85,570.11,0,1,0.29806828391734047,0.3333333333333333,0.3251770766258854,0.3137813129337448
SHP10096,2026-01-03,South,Bike,Medium,284.4,2.0,7.89,9.4,706.12,0,1,0.6289308176100629,0.05555555555555555,0.5537669027688346,0.41230929717042636
SHP10097,2026-04-06,South,Van,Medium,164.1,16.0,6.88,6.22,764.15,1,0,0.35871518418688225,0.8333333333333334,0.3490019317450097,0.4543472276553512
SHP10098,2026-06-23,East,Truck,Medium,41.3,15.0,4.33,5.99,461.35,0,1,0.08288409703504042,0.7777777777777778,0.3341918866709595,0.23499369757030467
SHP10099,2026-01-13,South,Van,Medium,54.9,1.0,3.2,6.48,164.95,0,1,0.11343216531895776,0.0,0.3657437218287187,0.020276437605946003
SHP10100,2026-05-27,East,Bike,Low,432.9,9.0,11.56,12.3,1251.89,0,1,0.9624887690925426,0.4444444444444444,0.7405022537025114,0.8076744758841512
SHP10101,2026-04-08,South,Van,Medium,409.0,10.0,11.18,12.93,1182.7,0,1,0.9088050314465408,0.5,0.7810688989053446,0.7575520493762767
SHP10102,2026-05-11,East,Van,High,315.5,9.0,9.21,10.75,881.64,0,1,0.6987870619946092,0.4444444444444444,0.6406954282034772,0.5394590052302921
SHP10103,2026-01-18,North,Bike,Low,121.1,18.0,6.22,4.06,748.2,1,0,0.2621293800539083,0.9444444444444444,0.20991629104958148,0.4427927732139494
SHP10104,2026-06-06,East,Bike,Low,436.2,3.0,11.02,10.59,1198.22,1,0,0.9699011680143755,0.1111111111111111,0.630392788151964,0.7687950044189449
SHP10105,2026-01-03,West,Van,High,350.9,6.0,9.62,10.52,1067.04,0,1,0.7783018867924527,0.2777777777777778,0.625885383129427,0.67376595528897
SHP10106,2026-06-13,North,Truck,Low,323.2,4.0,8.86,7.27,919.19,1,0,0.7160826594788858,0.16666666666666666,0.4166130070830651,0.5666608713290158
SHP10107,2026-04-29,South,Bike,Medium,203.3,5.0,6.57,9.01,659.33,0,1,0.4467654986522911,0.2222222222222222,0.5286542176432711,0.3784138160849596
SHP10108,2026-03-02,East,Bike,Medium,124.0,18.0,6.28,7.22,776.57,0,1,0.2686433063791554,0.9444444444444444,0.4133934320669672,0.46334448935831124
SHP10109,2026-01-02,East,Van,Medium,45.2,18.0,4.7,5.58,619.15,0,1,0.09164420485175202,0.9444444444444444,0.3077913715389569,0.3493067327335158
SHP10110,2026-04-20,East,Truck,Low,406.4,1.0,10.23,10.01,1083.09,1,0,0.902964959568733,0.0,0.5930457179652286,0.6853928514510076
SHP10111,2026-01-16,East,Bike,Medium,206.2,13.0,7.42,7.95,765.27,0,1,0.4532794249775381,0.6666666666666666,0.46039922730199623,0.4551585749264716
SHP10112,2026-04-20,East,Bike,Medium,92.7,5.0,4.35,5.72,423.0,0,1,0.19833782569631622,0.2222222222222222,0.31680618158403095,0.20721229770649507
SHP10113,2026-05-20,East,Bike,Medium,139.1,4.0,5.18,5.54,517.8,0,1,0.30256064690026946,0.16666666666666666,0.3052157115260786,0.2758870488691847
SHP10114,2026-02-18,North,Truck,Low,261.5,6.0,7.83,8.31,721.87,0,1,0.5774932614555256,0.2777777777777778,0.48358016741790094,0.42371886817055676
SHP10115,2026-02-12,West,Van,Medium,81.2,4.0,4.02,4.07,391.76,0,1,0.17250673854447438,0.16666666666666666,0.2105602060528011,0.18458150417988725
SHP10116,2026-02-09,South,Bike,Medium,385.8,10.0,10.72,11.4,1251.04,0,1,0.8566936208445642,0.5,0.6825499034127496,0.8070587212587472
SHP10117,2026-02-10,North,Bike,Low,341.8,19.0,10.74,9.53,1242.76,1,0,0.7578616352201258,1.0,0.562137797810689,0.8010605467901073
SHP10118,2026-01-21,South,Bike,Low,324.3,12.0,9.69,7.67,1115.76,1,0,0.7185534591194969,0.6111111111111112,0.4423696072118481,0.7090595615827067
SHP10119,2026-02-14,South,Van,Low,195.6,14.0,7.31,6.94,810.55,1,0,0.4294699011680143,0.7222222222222222,0.39536381197681914,0.4879601860303385
SHP10120,2026-04-29,North,Van,Low,283.0,10.0,8.66,8.75,919.31,0,1,0.6257861635220126,0.5,0.5119124275595622,0.5667478013937786
SHP10121,2026-02-24,West,Bike,Low,263.7,1.0,7.37,5.77,735.3,1,0,0.5824348607367476,0.0,0.32002575660012883,0.4334477912519377
SHP10122,2026-05-21,North,Van,High,293.1,2.0,8.06,9.92,764.11,0,1,0.6484725965858041,0.05555555555555555,0.5872504829362525,0.45431825096709694
SHP10123,2026-05-28,South,Bike,Medium,39.8,6.0,3.4,3.66,272.19,0,1,0.07951482479784365,0.2777777777777778,0.1841596909207985,0.09796293881572274
SHP10124,2026-05-17,South,Van,High,188.3,5.0,6.27,5.61,681.24,1,0,0.4130727762803234,0.2222222222222222,0.3097231165486157,0.3942857970762521
SHP10125,2026-04-08,West,Bike,High,20.6,16.0,4.01,4.57,515.08,0,1,0.03638814016172507,0.8333333333333334,0.24275595621377985,0.27391663406789235
SHP10126,2026-02-26,East,Bike,Low,223.3,17.0,8.17,8.65,872.66,0,1,0.49168912848158125,0.8888888888888888,0.5054732775273665,0.532953738717202
SHP10127,2026-06-17,West,Van,Medium,149.8,17.0,6.7,7.79,799.12,0,1,0.3265947888589398,0.8888888888888888,0.450096587250483,0.4796800973616725
SHP10128,2026-02-06,North,Van,High,66.7,13.0,4.63,4.97,496.83,0,1,0.139937106918239,0.6666666666666666,0.2685125563425628,0.26069602005186826
SHP10129,2026-03-25,West,Truck,Medium,48.3,11.0,4.07,4.57,439.55,0,1,0.09860736747529199,0.5555555555555556,0.24275595621377985,0.21920140247171152
SHP10130,2026-03-23,West,Truck,Medium,265.3,13.0,8.61,10.58,958.37,0,1,0.5860287511230907,0.6666666666666666,0.6297488731487444,0.595043537474102
SHP10131,2026-05-15,South,Van,Medium,78.4,8.0,4.37,5.56,481.23,0,1,0.16621743036837375,0.3888888888888889,0.30650354153251774,0.24939511163269149
SHP10132,2026-04-09,East,Truck,Low,416.5,13.0,11.63,11.91,1274.02,0,1,0.9256513926325247,0.6666666666666666,0.7153895685769479,0.8237058286608423
SHP10133,2026-05-24,North,Bike,Medium,262.3,16.0,8.85,9.23,1048.52,0,1,0.5792902066486972,0.8333333333333334,0.5428203477141018,0.6603497486272293
SHP10134,2026-06-15,West,Truck,High,157.4,15.0,6.65,7.81,750.2,0,1,0.34366576819407,0.7777777777777778,0.45138441725692213,0.4442416076266643
SHP10135,2026-03-12,West,Van,High,266.7,12.0,8.53,11.08,950.83,0,1,0.589173405211141,0.6111111111111112,0.6619446233097231,0.5895814317381666
SHP10136,2026-06-07,South,Van,Low,12.2,2.0,2.44,1.93,145.34,1,0,0.017520215633423177,0.05555555555555555,0.07276239536381199,0.0060706161892757245
SHP10137,2026-01-31,East,Van,Medium,431.4,14.0,12.03,13.96,810.55,0,1,0.9591194968553458,0.7222222222222222,0.8473921442369609,0.4879601860303385
SHP10138,2026-06-14,South,Van,Low,218.1,7.0,7.06,7.03,746.96,1,0,0.48000898472596576,0.3333333333333333,0.4011590470057953,0.44189449587806606
SHP10139,2026-02-02,North,Van,High,352.7,15.0,10.55,13.74,1198.02,0,1,0.7823450134770888,0.7777777777777778,0.8332260141661302,0.7686501209776734
SHP10140,2026-06-03,East,Truck,Low,39.1,11.0,3.88,3.49,331.65,1,0,0.07794249775381851,0.5555555555555556,0.17321313586606574,0.14103678590573882
SHP10141,2026-03-12,East,Van,High,220.0,17.0,8.1,10.99,872.98,0,1,0.4842767295597484,0.8888888888888888,0.656149388280747,0.5331855522232364
SHP10142,2026-06-23,West,Bike,High,221.8,7.0,7.14,9.93,789.66,0,1,0.4883198562443845,0.3333333333333333,0.5878943979394721,0.47282711058953064
SHP10143,2026-01-24,West,Van,Low,422.1,18.0,12.24,11.86,1385.53,1,0,0.938230008984726,0.9444444444444444,0.71216999356085,0.9044855913417654
SHP10144,2026-03-25,South,Van,Low,258.1,17.0,8.86,6.99,907.7,1,0,0.5698562443845463,0.8888888888888888,0.398583386992917,0.5583373176279682
SHP10145,2026-06-12,West,Bike,High,214.1,7.0,6.98,10.5,763.74,0,1,0.47102425876010773,0.3333333333333333,0.6245975531229878,0.4540502166007447
SHP10146,2026-01-09,East,Bike,Low,121.6,10.0,5.43,5.38,543.05,1,0,0.26325247079964054,0.5,0.2949130714745654,0.2941785833297112
SHP10147,2026-02-17,East,Van,Medium,150.5,11.0,6.11,4.78,712.61,1,0,0.32816711590296493,0.5555555555555556,0.2562781712813909,0.4170107648396864
SHP10148,2026-01-16,East,Van,High,235.3,15.0,8.21,9.44,903.71,0,1,0.5186433063791553,0.7777777777777778,0.5563425627817128,0.5554468929746019
SHP10149,2026-02-27,West,Van,Medium,198.6,14.0,7.37,8.94,818.13,0,1,0.43620844564240785,0.7222222222222222,0.524146812620734,0.4934512684545283
SHP10150,2026-03-12,East,Truck,Medium,11.7,17.0,3.93,3.99,504.79,0,1,0.01639712488769092,0.8888888888888888,0.2054088860270445,0.2664623810144739
SHP10151,2026-04-22,North,Truck,Medium,372.2,8.0,10.24,10.67,1042.45,0,1,0.8261455525606468,0.3888888888888889,0.6355441081777206,0.6559525361846394
SHP10152,2026-02-16,North,Van,Low,403.5,10.0,11.07,12.91,1143.02,0,1,0.8964510332434861,0.5,0.7797810688989054,0.7288071746280117
SHP10153,2026-01-29,South,Van,High,64.8,9.0,4.2,4.57,415.72,0,1,0.1356693620844564,0.4444444444444444,0.24275595621377985,0.2019385404442126
SHP10154,2026-01-31,East,Truck,Low,250.2,18.0,8.8,8.04,1031.66,1,0,0.5521114106019765,0.9444444444444444,0.46619446233097234,0.6481360745280422
SHP10155,2026-06-18,East,Bike,Low,50.6,6.0,3.61,3.28,279.43,1,0,0.10377358490566037,0.2777777777777778,0.1596909207984546,0.10320771938975094
SHP10156,2026-06-21,South,Truck,Low,303.2,12.0,9.26,9.81,927.98,0,1,0.6711590296495956,0.6111111111111112,0.5801674179008371,0.5730284985728981
SHP10157,2026-02-09,East,Truck,High,128.0,3.0,4.86,6.95,492.67,0,1,0.27762803234501343,0.1111111111111111,0.3960077269800387,0.25768244447342115
SHP10158,2026-02-05,West,Van,Low,297.4,17.0,9.65,10.85,1053.15,0,1,0.6581311769991015,0.8888888888888888,0.6471345782356729,0.6637038002926645
SHP10159,2026-01-10,South,Van,High,327.7,8.0,9.35,11.66,967.29,0,1,0.7261904761904762,0.3888888888888889,0.6992916934964586,0.6015053389548107
SHP10160,2026-06-22,South,Van,Medium,346.4,7.0,9.63,11.08,924.52,0,1,0.7681940700808625,0.3333333333333333,0.6619446233097231,0.5705220150389011
SHP10161,2026-05-08,East,Bike,High,50.3,12.0,4.21,5.47,416.11,0,1,0.10309973045822102,0.6111111111111112,0.3007083065035416,0.20222106315469202
SHP10162,2026-05-17,South,Bike,High,412.4,10.0,11.25,13.63,1206.94,0,1,0.9164420485175201,0.5,0.8261429491307148,0.7751119224583822
SHP10163,2026-02-22,West,Bike,High,105.1,17.0,5.8,7.69,699.09,0,1,0.22619047619047614,0.8888888888888888,0.44365743721828726,0.40721664420973325
SHP10164,2026-04-26,West,Bike,High,18.8,11.0,3.48,5.17,324.65,0,1,0.032345013477088944,0.5555555555555556,0.2813908564069543,0.1359658654612364
SHP10165,2026-01-11,East,Bike,Low,250.6,10.0,8.01,8.82,925.9,0,1,0.5530098831985624,0.5,0.5164198325820992,0.5715217107836744
SHP10166,2026-05-02,South,Bike,Medium,168.2,2.0,5.56,6.59,495.23,0,1,0.3679245283018867,0.05555555555555555,0.372826786864134,0.2595369525216963
SHP10167,2026-04-15,East,Van,Medium,373.7,1.0,9.57,10.47,929.4,0,1,0.8295148247978436,0.0,0.6226658081133292,0.5740571710059257
SHP10168,2026-03-01,North,Van,Medium,364.1,8.0,10.08,10.16,1134.2,0,1,0.8079514824797844,0.3888888888888889,0.6027044430135222,0.7224178148679387
SHP10169,2026-05-08,South,Van,High,144.1,19.0,6.78,8.76,788.54,0,1,0.31379155435759204,1.0,0.5125563425627818,0.4720157633184103
SHP10170,2026-04-27,North,Truck,High,428.9,18.0,12.38,14.86,1362.74,0,1,0.9535040431266846,0.9444444444444444,0.9053444945267225,0.8879761232088784
